Agreement ID,Status,Agreement Type
97-A-008,Active,Exclusive License - All Fields
03-A-011,Active,Exclusive License - All Fields
06-A-013,Active,Exclusive License - All Fields
07-A-011,Active,Exclusive License - All Fields
10-A-005,Active,Exclusive License - All Fields
85-A-002.S3.ASSURE,Active,Exclusive License - Field Limited
14-A-094,Active,Non-Exclusive License - Tangible Property
14-A-102,Active,Non-Exclusive License - Tangible Property
14-A-116,Active,Non-Exclusive License - All Fields
15-A-265,Active,Non-Exclusive License - Tangible Property
17-A-114,Active,Co-Exclusive License
85-A-002,Active,Exclusive License - All Fields
93-A-018,Active,Exclusive License - All Fields
94-A-019,Active,Exclusive License - All Fields
02-A-028,Active,Non-Exclusive License - Tangible Property
05-A-015,Active,Exclusive License - All Fields
05-A-034,Active,Non-Exclusive License - All Fields
05-A-052,Active,Exclusive License - All Fields
06-A-016,Active,Non-Exclusive License - All Fields
06-A-018,Active,Non-Exclusive License - All Fields
07-A-063,Active,Non-Exclusive License - All Fields
08-A-008,Active,Exclusive License - All Fields
09-A-028,Active,Non-Exclusive License - All Fields
10-A-021,Active,Non-Exclusive License - Tangible Property
10-A-068,Active,Non-Exclusive License - Tangible Property
10-A-094,Active,Exclusive License - All Fields
11-A-006,Active,Exclusive License - Field Limited
11-A-041,Active,Non-Exclusive License - Tangible Property
11-A-056,Active,Exclusive License - All Fields
12-A-078,Active,Exclusive License - All Fields
12-A-085,Active,Non-Exclusive License - Tangible Property
12-A-091,Active,Non-Exclusive License - Tangible Property
12-A-110,Active,Non-Exclusive License - All Fields
12-A-118,Active,Non-Exclusive License - All Fields
13-A-161,Active,Exclusive License - All Fields
14-A-195,Active,Exclusive License - All Fields
14-A-210,Active,Exclusive License - All Fields
14-A-211,Active,Non-Exclusive License - Tangible Property
14-A-213,Active,Non-Exclusive License - Field Limited
15-A-321,Active,Exclusive License - All Fields
13-A-171,Active,Non-Exclusive License - Tangible Property
15-A-333,Active,Exclusive License - All Fields
15-A-334,Active,Exclusive License - All Fields
15-A-343,Active,Exclusive License - All Fields
15-A-371,Active,Exclusive License - All Fields
15-A-377,Active,Exclusive License - All Fields
16-A-146,Active,Exclusive License - All Fields
16-A-152,Active,Non-Exclusive License - Field Limited
16-A-161,Active,Non-Exclusive License - Tangible Property
16-A-165,Active,Non-Exclusive License - Tangible Property
16-A-178,Active,Exclusive License - All Fields
16-A-182,Active,Non-Exclusive License - All Fields
16-A-197,Active,Non-Exclusive License - All Fields
16-A-209,Active,Non-Exclusive License - All Fields
16-A-218,Active,Exclusive License - UCGo!
16-A-219,Active,Non-Exclusive License - All Fields
17-A-150,Active,Non-Exclusive License - Tangible Property
17-A-162,Active,Non-Exclusive License - Tangible Property
17-A-166,Active,Exclusive License - All Fields
18-A-025,Active,Exclusive License - All Fields
18-A-034,Active,Exclusive License - All Fields
18-A-035,Active,Non-Exclusive License - All Fields
18-A-386,Active,Exclusive License - UCGo!
18-A-403,Active,Non-Exclusive License - Tangible Property
18-A-762,Active,Exclusive License - Field Limited
18-A-1049,Active,Exclusive License - Field Limited
21-A-026,Active,Exclusive License - All Fields
18-A-1059,Active,Exclusive License - Tangible Property
18-A-1298,Active,Non-Exclusive License - Tangible Property
18-A-1312,Active,Exclusive License - Field Limited
19-A-0032,Active,Exclusive License - Tangible Property
19-A-0038,Active,Exclusive License - Field Limited
22-A-073,Active,Non-Exclusive License - Field Limited
23-A-028,Active,Exclusive License - Field Limited
21-A-056,Active,Exclusive License - All Fields
19-A-0095,Active,Non-Exclusive License - Tangible Property
21-A-066,Active,Exclusive License - All Fields
19-A-0110,Active,Exclusive License - Field Limited
19-A-0111,Active,Non-Exclusive License - Field Limited
19-A-0121,Active,Exclusive License - Field Limited
19-A-0122,Active,Non-Exclusive License - Tangible Property
19-A-0124,Active,Exclusive License - Field Limited
19-A-0151,Active,Non-Exclusive License - Tangible Property
21-A-097,Active,Non-Exclusive License - Tangible Property
20-A-0022,Active,Exclusive License - All Fields
22-A-009,Active,Exclusive License - All Fields
21-A-159,Active,Exclusive License - Field Limited
21-A-048,Active,Exclusive License - Field Limited
22-A-225,Active,Exclusive License - All Fields
21-A-019,Active,Exclusive License - Field Limited
21-A-012,Active,Non-Exclusive License - Tangible Property
21-A-016,Active,Exclusive License - UCGo!
21-A-013,Active,Exclusive License - All Fields
21-A-033,Active,Exclusive License - All Fields
21-A-046,Active,Exclusive License - All Fields
21-A-053,Active,Exclusive License - All Fields
21-A-070,Active,Exclusive License - Field Limited
21-A-077,Active,Exclusive License - Field Limited
21-A-078,Active,Exclusive License - All Fields
21-A-079,Active,Exclusive License - All Fields
