search URL:,https://patents.google.com/?assignee=University+of+Chicago&before=filing:20220517&after=filing:19700101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10517822-B2,"Nanoscale carriers for the delivery or co-delivery of chemotherapeutics, nucleic acids and photosensitizers ","The University Of Chicago, The University Of North Carolina At Chapel Hill","Wenbin Lin, Chunbai He, Demin Liu",2013-11-06,2014-11-06,2019-12-31,2019-12-31,https://patents.google.com/patent/US10517822B2/en,https://patentimages.storage.googleapis.com/e9/40/00/1bf662a6d0eb02/US10517822-20191231-D00001.png
US-10118169-B2,Chiral ligand-based metal-organic frameworks for broad-scope asymmetric catalysis ,"The University Of Chicago, The University Of North Carolina At Chapel Hill","Wenbin Lin, Joseph M. Falkowski, Takahiro Sawano",2014-03-28,2015-03-30,2018-11-06,2018-11-06,https://patents.google.com/patent/US10118169B2/en,https://patentimages.storage.googleapis.com/3a/80/98/41f8653ad5c506/US10118169-20181106-D00001.png
US-9025843-B2,Imaging system ,The University Of Chicago,"Xiaochuan Pan, Yu Zou, Lifeng Yu, Chien-Min Kao, Martin King, Maryellen Giger, Dan Xia, Howard Halpern, Charles Pelizzari, Emil Y. Sidky, Seungryong Cho",2004-02-10,2012-02-20,2015-05-05,2015-05-05,https://patents.google.com/patent/US9025843B2/en,https://patentimages.storage.googleapis.com/17/b8/3a/033b1a6e68f282/US09025843-20150505-D00000.png
US-10208107-B2,Antibodies directed against influenza ,"Emory University, The University Of Chicago","Rafi Ahmed, Jens Wrammert, Patrick C. Wilson",2011-10-18,2016-03-29,2019-02-19,2019-02-19,https://patents.google.com/patent/US10208107B2/en,https://patentimages.storage.googleapis.com/aa/a8/c7/ea698df9bb5874/US10208107-20190219-D00001.png
JP-2021119004-A,Device and method for pressure-driven plug transport and reaction ,"ザ・ユニバーシティ・オブ・シカゴThe University Of Chicago, Univ Of Chicago, ザ・ユニバーシティ・オブ・シカゴ","エフ． イスマジロブ ルステム, Rustem F Ismagilov, エフ．  イスマジロブ ルステム",2002-05-09,2021-04-12,2021-08-12,,https://patents.google.com/patent/JP2021119004A/en,https://patentimages.storage.googleapis.com/fb/2f/f6/0fa5b8abd32857/2021119004-3.png
JP-2022000447-A,Treatment of cancer by manipulation of commensal microflora ,"ザ・ユニバーシティ・オブ・シカゴThe University Of Chicago, Univ Of Chicago, ザ・ユニバーシティ・オブ・シカゴ","ガジェウスキー，トーマス，エフ．, F Gajewski Thomas, シヴァン，アイェレット, Sivan Ayelet, コラレス，レティシア, Corrales Leticia",2015-06-01,2021-09-21,2022-01-04,,https://patents.google.com/patent/JP2022000447A/en,https://patentimages.storage.googleapis.com/31/24/be/a78b911f4919d6/2022000447-3.png
US-8821894-B2,Compositions and methods related to protein A (SpA) variants ,The University Of Chicago,"Olaf Schneewind, Alice G. Cheng, Dominique M. Missiakas, Hwan Keun Kim",2010-07-02,2011-07-01,2014-09-02,2014-09-02,https://patents.google.com/patent/US8821894B2/en,https://patentimages.storage.googleapis.com/1e/9d/51/abdbbd466842be/US08821894-20140902-D00001.png
US-9623116-B2,Antibody-light fusion products for cancer therapeutics ,The University Of Chicago,Yang-Xin Fu,2007-05-14,2015-05-20,2017-04-18,2017-04-18,https://patents.google.com/patent/US9623116B2/en,https://patentimages.storage.googleapis.com/26/d3/1a/ad3ef97c9debe2/US09623116-20170418-D00001.png
US-9613442-B2,Image reconstruction from limited or incomplete data ,The University Of Chicago,"Xiaochuan M. Pan, Emil Sidky, Chien-Min Kao",2006-02-13,2015-11-05,2017-04-04,2017-04-04,https://patents.google.com/patent/US9613442B2/en,https://patentimages.storage.googleapis.com/49/b9/a6/159f8c819302ac/US09613442-20170404-D00000.png
US-9623032-B2,Methods and compositions related to glucocorticoid receptor antagonists and breast cancer ,The University Of Chicago,"Deng Pan, Masha Kocherginsky, Suzanne D. Conzen",2010-03-24,2014-06-04,2017-04-18,2017-04-18,https://patents.google.com/patent/US9623032B2/en,https://patentimages.storage.googleapis.com/7c/d6/8d/67b91ab4f27cdc/US09623032-20170418-D00001.png
US-9808798-B2,Fluidic devices for biospecimen preservation ,California Institute Of Technology,"Rustem F. Ismagilov, Qichao Pan, Stefano Begolo",2012-04-20,2013-04-22,2017-11-07,2017-11-07,https://patents.google.com/patent/US9808798B2/en,https://patentimages.storage.googleapis.com/89/34/8e/1b58d9df285916/US09808798-20171107-D00000.png
US-10054961-B2,Methods for manipulating spacing between microdroplets flowing in a microfluidic system ,The University Of Chicago,"Rustem F. Ismagilov, Bo Zheng, Cory John Gerdts",2004-07-02,2014-02-19,2018-08-21,2018-08-21,https://patents.google.com/patent/US10054961B2/en,https://patentimages.storage.googleapis.com/a3/ea/1e/f2d3526056e9ae/US10054961-20180821-D00000.png
US-9101576-B2,Treatment of inflammatory diseases ,The University Of Chicago,Betty C. Soliven,2006-08-17,2012-08-06,2015-08-11,2015-08-11,https://patents.google.com/patent/US9101576B2/en,https://patentimages.storage.googleapis.com/df/52/e1/baa39e380eddad/US09101576-20150811-D00001.png
US-9567379-B2,Compositions and methods related to protein A (SpA) variants ,The University Of Chicago,"Olaf Schneewind, Alice Cheng, Dominique M. Missiakas, Hwan Keun Kim",2009-04-03,2010-04-05,2017-02-14,2017-02-14,https://patents.google.com/patent/US9567379B2/en,https://patentimages.storage.googleapis.com/f3/60/29/980f623a66ed53/US09567379-20170214-D00001.png
US-8808699-B2,Compositions and methods related to protein A (SpA) antibodies as an enhancer of immune response ,The University Of Chicago,"Olaf Schneewind, Alice Cheng, Dominique M. Missiakas, Hwan Keun Kim",2010-04-05,2011-04-05,2014-08-19,2014-08-19,https://patents.google.com/patent/US8808699B2/en,https://patentimages.storage.googleapis.com/5e/d2/14/2073608d9d9a74/US08808699-20140819-D00001.png
US-8741567-B2,Composition and methods related to modification of 5-hydroxymethylcytosine (5-hmC) ,The University Of Chicago,"Chuan He, Chunxiao Song",2010-04-06,2011-04-27,2014-06-03,2014-06-03,https://patents.google.com/patent/US8741567B2/en,https://patentimages.storage.googleapis.com/92/a9/85/f40260f07cd169/US08741567-20140603-D00001.png
US-9415392-B2,Slip chip device and methods ,The University Of Chicago,"Rustem F. Ismagilov, Wenbin Du, Liang Li, Feng Shen, Kevin Paul Flood Nichols, Delai Chen, Jason Eugene Kreutz",2009-03-24,2010-03-23,2016-08-16,2016-08-16,https://patents.google.com/patent/US9415392B2/en,https://patentimages.storage.googleapis.com/7f/a2/7a/fea31221eafc7f/US09415392-20160816-D00000.png
