Tech ID,Title,Lic. Manager,NCS Author,Lead Inventor,Status,Disclosure Date,Upload to Tech Publisher,Inventor Assign Date,Lic. Manager Assign Date,Public Disclosure Date,Project,Created Date,Updated Date,Last Related Update,Archive Date,Division/Department,Owners,Account Numbers,Alternate Title,Categories,Comments,Distributed,Grants/Awards,Holdback,Interests,Invention ID,Inventors,IP Manager,NCS Date,NCS Status
00-T-001,Light Collectors in Cylinderical Geometry,"Juggernauth, Anne",,Roland Winston,Closed/Inactive,,No,,8/1/1973,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,"Physical Sciences Division (PSD), Physics",University of Chicago,, ,,,0,,0,,00-D-001,Roland Winston,"Ginsburg, Eric",,
00-T-002,Radiant Energy Collector,"Juggernauth, Anne",,Roland Winston,Closed/Inactive,,No,,8/7/1973,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,"Physical Sciences Division (PSD), Physics",University of Chicago,, ,,,0,,0,,00-D-002,Roland Winston,"Ginsburg, Eric",,
00-T-003,Cylindrical Radiant Energy Direction Device With Refractive Medium,"Juggernauth, Anne",,Roland Winston,Closed/Inactive,,No,,8/1/1973,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,"Physical Sciences Division (PSD), Physics",University of Chicago,, ,,,0,,0,,00-D-003,Roland Winston,"Ginsburg, Eric",,
00-T-004,Ideal Light Concentrators with Reflector Gaps,"Juggernauth, Anne",,Roland Winston,Closed/Inactive,,No,,,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,"Physical Sciences Division (PSD), Physics",University of Chicago,, ,,,0,E(11-1)2446,0,,00-D-004,Roland Winston,"Ginsburg, Eric",,
00-T-005,Nonimaging Radiant Energy Direction Device,"Juggernauth, Anne",,Roland Winston,Closed/Inactive,,No,,,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,"Physical Sciences Division (PSD), Physics",University of Chicago,, ,,,0,,0,,00-D-005,Roland Winston,"Ginsburg, Eric",,
00-T-006,Energy Transmission with Respect to Convex Sources and Receivers,"Juggernauth, Anne",,Roland Winston,Closed/Inactive,,No,,,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,"Physical Sciences Division (PSD), Physics",University of Chicago,, ,,,0,,0,,00-D-006,Roland Winston,"Ginsburg, Eric",,
01-T-001,Defect Detection Eddy Current Steam Generator Inspection Using The Sequential Probablility Ratio Test and Image Analysis,"Tennant, Thelma",,,Licenses at Potential,,No,,8/12/2002,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,,,, ,,,0,,0,,01-D-001,,"Ginsburg, Eric",,
01-T-002,Controlled Directional Scattering Cavity for Tubular Absorbers,"Juggernauth, Anne",,Roland Winston,Closed/Inactive,,No,,,,,4/12/2018,11/10/2021,11/10/2021,###############################################################################################################################################################################################################################################################,"Physical Sciences Division (PSD), Physics",University of Chicago,, ,,,0,,0,,01-D-002,Roland Winston,"Ginsburg, Eric",,
01-T-003,Radiant Energy Collector,"Unassigned, Unassigned",,William McIntyre,Closed/Inactive,,No,,,,,4/12/2018,10/2/2020,10/2/2020,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,01-D-003,William McIntyre,"Unassigned, Unassigned",,
02-T-001,Particle Beam Lens,"Unassigned, Unassigned",,Zhifeng Shao,Closed/Inactive,,No,,4/8/1988,,,4/12/2018,1/20/2019,1/20/2019,###############################################################################################################################################################################################################################################################,,University of Chicago,, ,,,0,,0,,02-D-001,Zhifeng Shao,"Unassigned, Unassigned",,
