Agreement ID,Status,Agreement Type,Remark Text,Remark Month,Remark Year,Label,Positive/Negative Binary,Positive,Negative,Neutral
97-A-008,Active,Exclusive License,"Yes, they know they have the obligation until then.  I have been working on this forever and finally got paid all our back stuff!!!     ",November,2021,Neutral,Negative,0.025320103392004967,0.035132914781570435,0.9395470023155212
97-A-008,Active,Exclusive License,Seems like a reasonable list of customers. See my other note.     ,November,2021,Neutral,Positive,0.01694612205028534,0.010576561093330383,0.9724771976470947
97-A-008,Active,Exclusive License,"On the scale of GE, those aren’t huge royalties.  My guess is that some very thorough person at GE did the math and figured out that we were owed this little amount and it was easiest for them just to cut the check then second-guess it.  Looking back at the agreements, if I’m recalling it right, I think one big change at the acquisition was that our royalty base no longer included getting paid on services using the software, but rather only on licensing the software to customers.  If that’s correct, and if a majority of GE’s business using this technology is offering services rather than distributing the software, then that’s what we’re getting paid on.  (And we agreed to this change because it was seen as a necessary trade-off to facilitate the SmartSignal acquisition, enabling us to liquidate our equity.)     Also our field of use does not include using the software for customers in energy production – GE gets rights to that field through Argonne, so that’s another reason our royalties are low.       ",November,2021,Neutral,Negative,0.04252302274107933,0.051491864025592804,0.9059851765632629
97-A-008,Active,Exclusive License,Attached.     ,November,2021,Neutral,Positive,0.012868444435298443,0.005469490773975849,0.9816619753837585
03-A-011,Active,Exclusive License,"Re:  Revenue distribution share         L1066 Pfizer FY22 Q4 royalty distribution  Please see attached for details of the license income payment that was mailed to the University of Chicago on  September 21, 2022.  For the time being, payment checks are being mailed separately from the supporting documentation.  Please contact me if you have any questions.    Regards,",September,2022,Neutral,Positive,0.016694623976945877,0.013741533271968365,0.9695638418197632
03-A-011,Active,Exclusive License,"Teana,  We got a 1099 from Scripps saying they paid us $16k , but we never received the check.  When you followed up did they say anything?  This changes it a bit now we need a replacement  Doreen     ",February,2021,Neutral,Negative,0.03144031763076782,0.037387702614068985,0.9311719536781311
03-A-011,Active,Exclusive License,"Re:  Revenue distribution shares         L1066 Pfizer FY22 Q2 royalty distribution         L6760 Yumanity FY22 royalty distribution  Please see attached for details of the license income payment that was mailed to the University of Chicago on March 16, 2022.  For the time being, payment checks are being mailed separately from the supporting documentation.  Please contact me if you have any questions.    Regards,",March,2022,Neutral,Positive,0.01790284365415573,0.01431832555681467,0.9677788019180298
03-A-011,Active,Exclusive License,"Re:  Revenue distribution share         L1066 Pfizer FY21 Q4 royalty distribution  Please see attached for details of the license income payment that was mailed to the University of Chicago on September 29, 2021.  For the time being, payment checks are being mailed separately from the supporting documentation.  Please contact me if you have any questions.    Regards,",September,2021,Neutral,Positive,0.016356615349650383,0.013795183040201664,0.9698482155799866
03-A-011,Active,Exclusive License,"Re:  Revenue distribution share         L1066 Pfizer FY21 Q3 royalty distribution  Please see attached for details of the license income payment that was mailed to the University of Chicago on June 9, 2021.  For the time being, payment checks are being mailed separately from the supporting documentation.  Please contact me if you have any questions.    Regards,",June,2021,Neutral,Positive,0.016177870333194733,0.013744889758527279,0.9700772166252136
03-A-011,Active,Exclusive License,"Re:  Revenue distribution share         L1066 Pfizer FY22 Q1 royalty distribution  Please see attached for details of the license income payment that was mailed to the University of Chicago on December 15, 2021.  For the time being, payment checks are being mailed separately from the supporting documentation.  Please contact me if you have any questions.    Regards,",December,2021,Neutral,Positive,0.016273200511932373,0.013461475260555744,0.97026526927948
06-A-013,Active,Exclusive License,Good morning-     I don’t have any response from Abivax regarding their clinical trials  and reaching Phase 3           Best  Katya     ,October,2021,Neutral,Negative,0.021183546632528305,0.03508748486638069,0.9437289834022522
06-A-013,Active,Exclusive License,Hello Teana –     Thank you for the email.  @Katya Koleva ,October,2021,Neutral,Positive,0.05942648649215698,0.011698715388774872,0.9288747906684875
