,Unnamed: 0,Agreement_ID,Parties,Agreement_Type,Manager,Responsible_Manager,Title,Number_of_Parties,In_or_Out,Reference_Number,Status,Status_Date,Effective_Date,Agreement_Term,Term_Date,Sign_Date,Field_Of_Use,Equity,Reimbursable_Expenses,Technologies,Division_Department,Investigators,Last_Related_Update,Tech_ID,Category,Total Revenue,Revenue_Generating,Invention_ID,Lead_Inventor,_merge
0,13.0,00-A-020,University of Illinois at Chicago,Interinstitutional Agreement (IIA),"Tennant, Thelma","Stocco, Teana",University of Illinois at Chicago IIA 2000,1.0,Out,AGR11744,Active,2000-05-08 00:00:00,2000-05-08 00:00:00,-1.0,,2000-05-24 00:00:00,No field of use specified; Term upon last license to expire,No,No,00-T-017,"Biological Sciences Division (BSD), Medicine","Wonhwa Cho, Alan Leff, Maria Nilda Munoz",2021-06-11 12:45:41,00-T-017,,,0.0,00-D-017,Maria Nilda Munoz,both
1,108.0,02-A-028,"Santa Cruz Biotechnology, Inc.",Non-Exclusive License - Tangible Property,"Tennant, Thelma","Stocco, Teana","Santa Cruz Biotechnology, Non-Exclusive License-Tangible Property, 2002 (Munoz)",1.0,Out,AGR11812 TROCT04,Active,2012-03-14 00:00:00,2002-01-15 00:00:00,30.0,2032-01-15 00:00:00,2012-03-14 00:00:00,"In Vitro research reagent only, specifically excluding  regulatory approved diagnostics and  pharmaceuticals",No,No,00-T-017,"Biological Sciences Division (BSD), Medicine","Wonhwa Cho, Alan Leff, Maria Nilda Munoz",2022-03-17 13:51:34,00-T-017,,,0.0,00-D-017,Maria Nilda Munoz,both
2,3188.0,21-A-012,"Absolute Antibody,Ltd.",Non-Exclusive License - Tangible Property,"Tennant, Thelma","Stocco, Teana","Absolute Antibody, Non-Exclusive License- Tangible Property, 2020 (many)",1.0,Out,,Active,2020-07-28 00:00:00,2020-07-28 00:00:00,20.0,2040-07-28 00:00:00,2020-07-30 00:00:00,"commercial use for use as in vitro research reagents, specifically excluding regulatory approved diagnostic and pharmaceutical products.",No,No,"00-T-017, 00-T-033, 01-T-041, 01-T-043, 01-T-044, 02-T-023, 03-T-069, 03-T-070, 03-T-071, 03-T-072, 03-T-073, 03-T-074, 09-T-072, 12-T-091, 14-T-071, 80-T-007, 86-T-011, 88-T-010, 89-T-022, 93-T-005, 93-T-023, 95-T-070, 98-T-056, 99-T-029","Ben May Institute for Cancer Research, Biological Sciences Division (BSD), Comprehensive Cancer Center, Medicine, Neurology, Office of Shared Research Facilities, Pathology, Pulmonary/Critical Care, Surgery","Irina Balyasnikova, Jeffrey Bluestone, Wonhwa Cho, Frank Collart, Eugene DeSombre, Deno Dialynas Trust, Dean Edwards, Frank Fitch, Geoffrey Greene, Wendy Havran, Eliezer Huberman, David Lancki, Alan Leff, Deborah Lenschow, Maciej Lesniak, Michael Loken, Carol McShan, Maria Nilda Munoz, Judith Smith, Anne Sperling, Alan Stall, Gloria Su, Wei-Jen Tang, Richard Thistlethwaite, Derek Wainwright, Chyung-Ru Wang",2022-03-16 11:36:27,00-T-017,,,0.0,00-D-017,Maria Nilda Munoz,both
3,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36,00-T-008,,,0.0,00-D-008,Samuel Armato,both
4,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 00-T-010,,,0.0,,,left_only
5,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 00-T-060,,,0.0,,,left_only
6,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 01-T-008,,,0.0,,,left_only
7,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 01-T-016,,,0.0,,,left_only
8,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 97-T-048,,,0.0,,,left_only
9,70.0,01-A-029,"Hologic, Inc. (fka R2 Technology)",Non-Exclusive License - All Fields,"Juggernauth, Anne","Stocco, Teana","R2 Technology, Inc. Non-Exclusive w/ Equity 2001",1.0,Out,AGR11763,Active,2005-03-23 00:00:00,2001-01-01 00:00:00,-1.0,2022-06-17 00:00:00,2005-03-23 00:00:00,Computer-aided diagnosis of diseases and/or disorders in human,Yes,Yes,"00-T-008, 00-T-010, 00-T-060, 01-T-008, 01-T-016, 97-T-048, 97-T-052, 97-T-055, 97-T-056, 97-T-058, 98-T-006, 98-T-007, 98-T-014, 98-T-015, 98-T-017, 99-T-045, 99-T-048","Biological Sciences Division (BSD), Comprehensive Cancer Center, Radiology","Yali Amit, Masahito Aoyama, Samuel Armato, Ulrich Bick, Kunio Doi, Maryellen Giger, Kenneth Gilhuijs, Zhimin Huo, Takayuki Ishida, Shigehiko Katsuragawa, Matthew Kupinski, Li Lan, Qiang Li, Heber MacMahon, Nobuyuk Nakamori, Carl Vyborny, Xin-Wei Xu, Hiroyuki Yoshida",2022-01-26 09:23:36, 97-T-052,,,0.0,,,left_only
