Primary Key,Tech ID,Internal ID,Patent Number,Serial Number,Docket No.,Application Type,Title,File Date,Priority Date,Expire Date,Issue Date,Nationalized Date,Publication Date,Status,Lead Inventor,Country,Lawfirm,Attorney,Legal Reference Number,Ext. Attorney Matter Number,Country WIPO ID,Date Actually Filed,Examiner,Inventors,IP Manager,Licensing Manager,CPA Reason For Stopping,CPA Renewal Type Codes,CPA Start Pay Date,CPA Stop Pay Date,CPI Case Types,CPI Start Pay Date,CPI Stop Pay Date,PCT Bar Date,PCT Filing Date,Priority Application Number,US Bar Date
610171,18-T-018,0000-001,,Bell Suspense,0000-001,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,"Bell & Manning, LLC",,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Bell Suspense,
610172,18-T-018,0000-002,,Brinks Suspense,0000-002,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,Brinks Gilson & Lione,,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Brinks Suspense,
610173,18-T-018,0000-003,,Brown Suspense,0000-003,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,Brown Rudnick,,031097.0001, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Brown Suspense,
610174,18-T-018,0000-004,,Casimir Suspense,0000-004,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,"Casimir Jones, S.C.",,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Casimir Suspense,
610175,18-T-018,0000-005,,Fulbright Suspense,0000-005,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,Norton Rose Fulbright US LLP,,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Fulbright Suspense,
610176,18-T-018,0000-006,,Jenkins Suspense,0000-006,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,Jenkins Wilson Taylor & Hunt P.A.,,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Jenkins Suspense,
610177,18-T-018,0000-007,,Marshall Suspense,0000-007,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,"Marshall, Gerstein & Borun",,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Marshall Suspense,
610178,18-T-018,0000-008,,McDonnell Suspense,0000-008,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,Mcdonnell Boehnen Hulbert & Berghoff LLP,,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,McDonnell Suspense,
610179,18-T-018,0000-009,,Michael Best Suspens,0000-009,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,Michael Best & Friedrich LLP,,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Michael Best Suspense,
610180,18-T-018,0000-010,,Quarles Suspense,0000-010,Not Provided,No_Patent_Title Suspense,2/14/2018,2/14/2018,,,,,Pending,Cole Johnson,*United States,Quarles & Brady LLP,,, ,US,2/14/2018,,Cole Johnson,"Neu, Nick","Neu, Nick",,,,,,,,,,Quarles Suspense,
