,Tech_ID,Title,Serial_Number,Patent_Number,Country,Country_WIPO_ID,File_Date,Issue_Date,Publication_Number,Date_Actually_Filed,Internal_ID,Entity_Size,Priority_Date,Status_Date,Is_Priority,Last_Related_Update,Status,Lawfirm,Attorney,Legal_Reference_Number,Inventors,Application_Type,Created_Date,Docket_No,Expire_Date,IP_Manager,Lead_Inventor,Licensing_Manager,Primary_Key,Publication_Date,Technology_Key,Licensed
0,00-T-001,Light Collectors in Cylinderical Geometry,"05/581,613","3,957,031",*United States,US,5/29/1975,5/18/1976, ,5/29/1975,0002.1-001,None,5/29/1975,,Yes,4/28/2022,Expired - Inactive,"Marshall, Gerstein & Borun",, ,Roland Winston,US Utility,4/12/2018,0002.1-001,5/29/1995,"Ginsburg, Eric",Roland Winston,"Juggernauth, Anne",612078,,580932,Yes
1,00-T-002,Radiant Energy Collector,"05/492,074","4,002,499",*United States,US,7/26/1974,1/11/1977, ,7/26/1974,0002.2-001,None,7/26/1974,,Yes,4/28/2022,Expired - Inactive,"Marshall, Gerstein & Borun","Borun, Michael", ,Roland Winston,US Utility,4/12/2018,0002.2-001,7/26/1994,"Ginsburg, Eric",Roland Winston,"Juggernauth, Anne",614263,,580933,Yes
2,00-T-003,Cylindrical Radiant Energy Direction Device With Refractive Medium,"05/714,863","4,114,592",*United States,US,8/16/1976,9/19/1978, ,8/16/1976,0002.3-001,None,8/16/1976,,Yes,4/28/2022,Expired - Inactive,"Marshall, Gerstein & Borun","Borun, Michael", ,Roland Winston,US Utility,4/12/2018,0002.3-001,8/16/1996,"Ginsburg, Eric",Roland Winston,"Juggernauth, Anne",611370,,580934,Yes
3,00-T-004,Ideal Light Concentrators with Reflector Gaps,"05/909,864","4,230,095",*United States,US,5/26/1978,10/28/1980, ,5/26/1978,0009.1-001,None,5/26/1978,,Yes,4/28/2022,Expired - Inactive,"Marshall, Gerstein & Borun",, ,Roland Winston,US Utility,4/12/2018,0009.1-001,5/26/1998,"Ginsburg, Eric",Roland Winston,"Juggernauth, Anne",611878,,580935,Yes
4,00-T-005,Nonimaging Radiant Energy Direction Device,"05/945,923","4,237,332",*United States,US,9/26/1978,12/2/1980, ,9/26/1978,0009.2-001,None,9/26/1978,,Yes,4/28/2022,Expired - Inactive,"Marshall, Gerstein & Borun",, ,Roland Winston,US Utility,4/12/2018,0009.2-001,9/26/1998,"Ginsburg, Eric",Roland Winston,"Juggernauth, Anne",613704,,580936,Yes
5,00-T-006,Energy Transmission with Respect to Convex Sources and Receivers,"06/069,326", ,*United States,US,8/24/1979,, ,8/24/1979,0009.3-001,None,8/24/1979,,Yes,4/28/2022,Abandoned,"Marshall, Gerstein & Borun",, ,Roland Winston,US Utility,4/12/2018,0009.3-001,,"Ginsburg, Eric",Roland Winston,"Juggernauth, Anne",611528,,580937,Yes
6,00-T-006,Energy Transmission with Respect to Convex Sources and Receivers,"06/282,232","4,483,007",*United States,US,7/10/1981,11/13/1984, ,7/10/1981,0009.3-002,None,8/24/1979,,No,4/28/2022,Expired - Inactive,"Marshall, Gerstein & Borun",, ,Roland Winston,Continuation,4/12/2018,0009.3-002,11/13/2001,"Ginsburg, Eric",Roland Winston,"Juggernauth, Anne",611529,,580937,Yes
7,00-T-007,Compounds that Enhance Tumor Death,"60/225,526", ,*United States,US,8/15/2000,, ,8/15/2000,0812-001,Small,8/15/2000,,Yes,5/7/2022,Expired - Inactive,Norton Rose Fulbright US LLP,"Shishima, Gina", ,"Seongeun Julia Cho, Glyn Dawson",Provisional,4/12/2018,0812-001,8/15/2001,"Sun, Han",Glyn Dawson,"Tennant, Thelma",611239,,581846,Yes
8,00-T-007,Compounds That Enhance Tumor Death,"09/930,559", ,*United States,US,8/15/2001,,US-2003-050236-A1,8/15/2001,0812-002,Small,8/15/2000,,No,4/28/2022,Abandoned,Norton Rose Fulbright US LLP,"Shishima, Gina", ,"Seongeun Julia Cho, Glyn Dawson",US Utility,4/12/2018,0812-002,8/15/2020,"Sun, Han",Glyn Dawson,"Tennant, Thelma",611240,3/13/2003,581846,Yes
9,00-T-008,Automated Method and System for the Two and Three Dimension,01803856.5, ,China,CN,1/18/2001,,CN 1395713 A,7/18/2002,0813-004,Small,1/18/2000,,No,4/28/2022,Abandoned,"Oblon, Spivak, McClelland, Maier & Neustadt",, ,"Samuel Armato, Maryellen Giger, Heber MacMahon",Nationalized PCT,4/12/2018,0813-004,1/18/2021,"Ginsburg, Eric",Samuel Armato,"Juggernauth, Anne",610665,2/5/2003,581847,Yes
